ID,Name,Update Email,Phone,Address,City,State,Website,License ID,Source Link
1,Vireo Lower Manhattan Delivery,patients1@vireohealth.com,844-484-7366,"New York, New York",New York,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-lower-manhattan-delivery
2,Vireo Manhattan Delivery,patients2@vireohealth.com,844-484-7366,"Manhattan, New York",Manhattan,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-manhattan-delivery
3,Vireo Brooklyn Delivery,patients3@vireohealth.com,844-484-7366,"Brooklyn, New York",Brooklyn,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-brooklyn-delivery-3
4,Vireo Health Delivery - Brooklyn,patients4@vireohealth.com,844-484-7366,"Brooklyn, New York",Brooklyn,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-health-delivery-brooklyn
5,Vireo Delivery,patients5@vireohealth.com,844-484-7366,"Brooklyn, New York",Brooklyn,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-brooklyn
6,Vireo Queens Delivery,patients6@vireohealth.com,844-484-7366,"Astoria, New York",Astoria,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-queens-delivery
7,Vireo Delivery,patients7@vireohealth.com,844-484-7366,"Brooklyn, New York",Brooklyn,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-brooklyn-1
8,Vireo Brooklyn Delivery,patients8@vireohealth.com,844-484-7366,"Brooklyn, New York",Brooklyn,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-brooklyn-delivery-2
9,Vireo Health Delivery - Queens,patients9@vireohealth.com,844-484-7366,"Queens, New York",Queens,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-health-delivery-queens
10,Vireo Delivery Upper Manhattan,patients10@vireohealth.com,844-484-7366,"New York, New York",New York,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-upper-manhattan
11,Vireo Delivery,patients11@vireohealth.com,844-484-7366,"Woodhaven, New York",Woodhaven,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-woodhaven
12,Vireo Delivery,patients12@vireohealth.com,844-484-7366,"The Bronx, New York",The Bronx,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-the-bronx
13,Vireo Delivery,patients13@vireohealth.com,844-484-7366,"Staten Island, New York",Staten Island,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-21
14,Vireo Queens Delivery,patients14@vireohealth.com,844-484-7366,"Queens, New York",Queens,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-queens-delivery-3
15,Vireo Delivery,patients15@vireohealth.com,844-484-7366,"Flushing, New York",Flushing,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-flushing
16,Vireo Queens Delivery,patients16@vireohealth.com,844-484-7366,"Queens, New York",Queens,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-queens-delivery-2
17,Vireo Delivery,patients17@vireohealth.com,844-484-7366,"The Bronx, New York",The Bronx,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-the-bronx-1
18,Vireo Delivery,patients18@vireohealth.com,844-484-7366,"The Bronx, New York",The Bronx,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-bronx
19,Vireo Staten Island Delivery,patients19@vireohealth.com,844-484-7366,"Staten Island, New York",Staten Island,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-staten-island-delivery-3
20,Vireo Delivery,patients20@vireohealth.com,844-484-7366,"The Bronx, New York",The Bronx,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-bronx-1
21,Vireo Delivery,patients21@vireohealth.com,844-484-7366,"The Bronx, New York",The Bronx,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-bronx-3
22,Vireo Delivery,patients22@vireohealth.com,844-484-7366,"Woodrow, New York",Woodrow,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-staten-island
23,Vireo Delivery,patients23@vireohealth.com,844-484-7366,"Valley Stream, New York",Valley Stream,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-valley-stream
24,Vireo Staten Island Delivery,patients24@vireohealth.com,844-484-7366,"Staten Island, New York",Staten Island,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-staten-island-delivery-2
25,Vireo Nassau Delivery,patients25@vireohealth.com,844-484-7366,"Garden City, New York",Garden City,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-nassau-delivery
26,Vireo Nassau Delivery,patients26@vireohealth.com,844-484-7366,"Nassau, New York",Nassau,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-nassau-delivery-3
27,Vireo Westchester County Delivery,patients27@vireohealth.com,844-484-7366,"Westchester County, New York",Westchester County,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-westchester-county-delivery-3
28,Vireo Delivery,patients28@vireohealth.com,844-484-7366,"White Plains, New York",White Plains,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-white-plains
29,Vireo Delivery,patients29@vireohealth.com,844-484-7366,"Hicksville, New York",Hicksville,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-hicksville
30,Vireo Delivery,patients30@vireohealth.com,844-484-7366,"Sleepy Hollow, New York",Sleepy Hollow,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-delivery-sleepy-hallow
31,Vireo Nassau Delivery,patients31@vireohealth.com,844-484-7366,"Nassau, New York",Nassau,NY,www.vireohealth.com,,https://weedmaps.com/deliveries/vireo-nassau-delivery-2
